timestamp,rule_id,rule_type,execution_results,rule_json
2026-05-01 11:14:21,rule_20260501111421,simple,"[""Executed: turn_on ac in living_room""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501111421"", ""timestamp"": ""2026-05-01 11:14:21""}"
2026-05-01 11:14:48,rule_20260501111448,simple,"[""Executed: turn_on ac in living_room""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501111448"", ""timestamp"": ""2026-05-01 11:14:48""}"
2026-05-01 12:25:46,rule_20260501122546,simple,"[""Executed: turn_on ac in living_room""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501122546"", ""timestamp"": ""2026-05-01 12:25:46""}"
2026-05-01 12:30:27,rule_20260501123027,simple,"[""Executed: turn_on ac in bedroom_1""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""bedroom_1"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501123027"", ""timestamp"": ""2026-05-01 12:30:27""}"
2026-05-01 12:32:31,rule_20260501123231,simple,"[""Executed: turn_on ac in bedroom_1""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""bedroom_1"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501123231"", ""timestamp"": ""2026-05-01 12:32:31""}"
2026-05-01 12:34:15,rule_20260501123415,simple,"[""Executed: turn_on ac in living_room""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501123415"", ""timestamp"": ""2026-05-01 12:34:15""}"
2026-05-01 12:42:52,rule_20260501124252,simple,"[""Executed: turn_on ac in living_room""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501124252"", ""timestamp"": ""2026-05-01 12:42:52""}"
2026-05-01 13:35:31,rule_20260501133531,simple,"[""Executed: turn_on fan in living_room""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""fan"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501133531"", ""timestamp"": ""2026-05-01 13:35:31""}"
2026-05-01 13:37:42,rule_20260501133742,simple,"[""Executed: turn_on ac in living_room""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501133742"", ""timestamp"": ""2026-05-01 13:37:42""}"
2026-05-01 13:44:00,rule_20260501134400,simple,"[""Executed: turn_on ac in living_room""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501134400"", ""timestamp"": ""2026-05-01 13:44:00""}"
